MATLAB index,fpga,bank_index,in_bank_index,x,y
108,0,0,73,-50.0,17.32050807568877
109,0,0,74,-55.0,8.660254037844386
110,0,0,75,-60.0,0.0
111,2,0,117,-55.0,-8.660254037844386
112,2,0,109,-50.0,-17.32050807568877
113,2,0,101,-45.0,-25.980762113533157
114,2,0,93,-40.0,-34.64101615137754
115,2,0,85,-35.0,-43.301270189221924
116,2,0,77,-30.000000000000007,-51.96152422706631
117,2,0,78,-20.000000000000007,-51.96152422706631
118,2,0,79,-10.000000000000007,-51.96152422706631
119,2,0,72,-7.105427357601002e-15,-51.96152422706631
120,2,0,73,9.999999999999993,-51.96152422706631
121,2,0,74,19.999999999999993,-51.96152422706631
122,2,0,75,29.999999999999993,-51.96152422706631
123,1,0,117,35.0,-43.301270189221924
124,1,0,109,40.0,-34.64101615137754
125,1,0,101,45.0,-25.980762113533157
126,1,0,93,50.0,-17.32050807568877
127,1,0,85,55.0,-8.660254037844386
128,1,0,68,70.0,0.0
129,1,0,69,65.0,8.660254037844386
130,1,0,70,60.0,17.32050807568877
131,1,0,71,55.0,25.980762113533157
132,1,0,64,50.0,34.64101615137754
133,1,0,65,45.0,43.301270189221924
134,1,0,66,40.00000000000001,51.96152422706631
135,1,0,67,35.00000000000001,60.6217782649107
136,0,0,116,25.000000000000007,60.6217782649107
137,0,0,108,15.000000000000007,60.6217782649107
138,0,0,100,5.000000000000007,60.6217782649107
139,0,0,92,-4.999999999999993,60.6217782649107
140,0,0,84,-14.999999999999993,60.6217782649107
141,0,0,76,-24.999999999999993,60.6217782649107
142,0,0,68,-34.99999999999999,60.6217782649107
143,0,0,69,-39.99999999999999,51.96152422706631
144,0,0,70,-45.0,43.301270189221924
145,0,0,71,-50.0,34.64101615137754
146,0,0,64,-55.0,25.980762113533157
147,0,0,65,-60.0,17.32050807568877
148,0,0,66,-65.0,8.660254037844386
149,0,0,67,-70.0,0.0
150,2,0,116,-65.0,-8.660254037844386
151,2,0,108,-60.0,-17.32050807568877
152,2,0,100,-55.0,-25.980762113533157
153,2,0,92,-50.0,-34.64101615137754
154,2,0,84,-45.0,-43.301270189221924
155,2,0,76,-40.00000000000001,-51.96152422706631
156,2,0,68,-35.00000000000001,-60.6217782649107
157,2,0,69,-25.000000000000007,-60.6217782649107
158,2,0,70,-15.000000000000007,-60.6217782649107
159,2,0,71,-5.000000000000007,-60.6217782649107
160,2,0,64,4.999999999999993,-60.6217782649107
161,2,0,65,14.999999999999993,-60.6217782649107
162,2,0,66,24.999999999999993,-60.6217782649107
163,2,0,67,34.99999999999999,-60.6217782649107
164,1,0,116,39.99999999999999,-51.96152422706631
165,1,0,108,45.0,-43.301270189221924
166,1,0,100,50.0,-34.64101615137754
167,1,0,92,55.0,-25.980762113533157
168,1,0,84,60.0,-17.32050807568877
169,1,0,76,65.0,-8.660254037844386
170,1,0,179,80.0,0.0
171,1,0,60,75.0,8.660254037844386
172,1,0,61,70.0,17.32050807568877
173,1,0,62,65.0,25.980762113533157
174,1,0,63,60.0,34.64101615137754
175,1,0,56,55.0,43.301270189221924
176,1,0,57,50.00000000000001,51.96152422706631
177,1,0,58,45.00000000000001,60.6217782649107
178,1,0,59,40.00000000000001,69.28203230275508
179,0,0,235,30.000000000000007,69.28203230275508
180,0,0,227,20.000000000000007,69.28203230275508
181,0,0,219,10.000000000000007,69.28203230275508
182,0,0,211,7.105427357601002e-15,69.28203230275508
183,0,0,203,-9.999999999999993,69.28203230275508
184,0,0,195,-19.999999999999993,69.28203230275508
185,0,0,187,-29.999999999999993,69.28203230275508
186,0,0,179,-39.99999999999999,69.28203230275508
187,0,0,60,-44.99999999999999,60.6217782649107
188,0,0,61,-49.99999999999999,51.96152422706631
189,0,0,62,-55.0,43.301270189221924
190,0,0,63,-60.0,34.64101615137754
191,0,0,56,-65.0,25.980762113533157
192,0,0,57,-70.0,17.32050807568877
193,0,0,58,-75.0,8.660254037844386
194,0,0,59,-80.0,0.0
195,2,0,235,-75.0,-8.660254037844386
196,2,0,227,-70.0,-17.32050807568877
197,2,0,219,-65.0,-25.980762113533157
198,2,0,211,-60.0,-34.64101615137754
199,2,0,203,-55.0,-43.301270189221924
200,2,0,195,-50.00000000000001,-51.96152422706631
201,2,0,187,-45.00000000000001,-60.6217782649107
202,2,0,179,-40.00000000000001,-69.28203230275508
203,2,0,60,-30.000000000000007,-69.28203230275508
204,2,0,61,-20.000000000000007,-69.28203230275508
205,2,0,62,-10.000000000000007,-69.28203230275508
206,2,0,63,-7.105427357601002e-15,-69.28203230275508
207,2,0,56,9.999999999999993,-69.28203230275508
208,2,0,57,19.999999999999993,-69.28203230275508
209,2,0,58,29.999999999999993,-69.28203230275508
210,2,0,59,39.99999999999999,-69.28203230275508
211,1,0,235,44.99999999999999,-60.6217782649107
212,1,0,227,49.99999999999999,-51.96152422706631
213,1,0,219,55.0,-43.301270189221924
214,1,0,211,60.0,-34.64101615137754
215,1,0,203,65.0,-25.980762113533157
216,1,0,195,70.0,-17.32050807568877
217,1,0,187,75.0,-8.660254037844386
218,1,0,170,90.0,0.0
219,1,0,171,85.0,8.660254037844386
220,1,0,52,80.0,17.32050807568877
221,1,0,53,75.0,25.980762113533157
222,1,0,54,70.0,34.64101615137754
223,1,0,55,65.0,43.301270189221924
224,1,0,48,60.00000000000001,51.96152422706631
225,1,0,49,55.00000000000001,60.6217782649107
226,1,0,50,50.00000000000001,69.28203230275508
